"frame","time","stimulus","event","trial"
1,28050,"Start","0",NA
440,44051,"US","On",0
496,46051,"US","Off",0
836,58051,"CS","On",0
950,62051,"CS","Off",0
1372,77052,"US","On",1
1429,79052,"CS","On",1
1429,79052,"US","Off",1
1542,83052,"CS","Off",1
2013,100054,"US","On",2
2068,102053,"US","Off",2
2407,114053,"CS","On",2
2521,118053,"CS","Off",2
2549,119054,"US","On",3
2606,121054,"US","Off",3
3088,138055,"US","On",3
3144,140055,"US","Off",3
3201,142054,"CS","On",3
3314,146054,"CS","Off",3
3741,161056,"US","On",4
3798,163055,"CS","On",4
3798,163056,"US","Off",4
3912,167055,"CS","Off",4
4409,185057,"US","On",5
4466,187057,"US","Off",5
4578,191056,"CS","On",5
4687,195056,"CS","Off",5
4936,204058,"US","On",6
4994,206058,"US","Off",6
4994,206058,"US","On",6
4994,206058,"US","Off",6
5379,220057,"CS","On",6
5436,222059,"US","On",6
5494,224057,"CS","Off",6
5494,224059,"US","Off",7
5978,241060,"US","On",7
6035,243060,"US","Off",7
6234,250058,"CS","On",7
6348,254058,"CS","Off",7
6890,273059,"CS","On",8
6947,275061,"US","On",8
7004,277059,"CS","Off",8
7004,277061,"US","Off",9
7460,293062,"US","On",9
7517,295062,"US","Off",9
7716,302060,"CS","On",9
7831,306060,"CS","Off",9
8344,324063,"US","On",10
8399,326063,"US","Off",10
8709,337061,"CS","On",10
8823,341061,"CS","Off",10
8880,343064,"US","On",11
8937,345064,"US","Off",11
9265,357062,"CS","On",11
9319,359062,"US","On",11
9374,361062,"CS","Off",11
9456,364065,"US","Off",12
9812,377063,"CS","On",12
9866,379063,"US","On",12
9921,381063,"CS","Off",12
10495,402064,"CS","On",13
10604,406064,"CS","Off",13
11178,427065,"CS","On",14
11288,431065,"CS","Off",14
11807,450066,"CS","On",15
11917,454066,"US","Off",15
11917,454066,"CS","Off",15
12407,472067,"CS","On",16
12462,474067,"US","On",16
12517,476067,"US","Off",16
12518,476067,"CS","Off",16
13339,506068,"CS","On",17
13393,508068,"US","On",17
13448,510068,"US","Off",17
13448,510068,"CS","Off",17
13911,527069,"CS","On",18
13965,529069,"US","On",18
14020,531069,"US","Off",18
14020,531069,"CS","Off",18
14478,548070,"CS","On",19
14532,550070,"US","On",19
14587,552070,"US","Off",19
14587,552070,"CS","Off",19
15049,569071,"CS","On",20
15104,571071,"US","On",20
15159,573071,"US","Off",20
15159,573071,"CS","Off",20
15623,590072,"CS","On",21
15680,592072,"US","On",21
15736,594072,"US","Off",21
15737,594072,"CS","Off",21
15737,594073,"CS","On",22
15738,594073,"US","On",22
15738,594073,"US","Off",22
15738,594073,"CS","Off",22
16595,625074,"CS","On",23
16650,627074,"US","On",23
16707,629074,"US","Off",23
16707,629074,"CS","Off",23
17551,659075,"CS","On",24
17608,661075,"US","On",24
17665,663075,"US","Off",24
17665,663075,"CS","Off",24
18339,687076,"CS","On",25
18396,689076,"US","On",25
18453,691076,"US","Off",25
18453,691076,"CS","Off",25
18935,708077,"CS","On",26
18991,710077,"US","On",26
19048,712077,"US","Off",26
19048,712077,"CS","Off",26
19760,737078,"CS","On",27
19816,739078,"US","On",27
19873,741078,"US","Off",27
19873,741078,"CS","Off",27
20326,757079,"CS","On",28
20383,759079,"US","On",28
20440,761079,"US","Off",28
20441,761079,"CS","Off",28
20441,761080,"CS","On",29
20442,761080,"US","On",29
20442,761080,"US","Off",29
20443,761080,"CS","Off",29
